code,raw_gold,runtime_fallback_needed,quality_score,similarity_risk,gsc_impressions,gsc_clicks,recommended_action
P0121,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0122,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0123,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0124,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0125,no,yes,60,high,40,0,Upgrade raw record before treating as high-confidence index target.
P0126,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0127,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0128,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0129,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0130,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0131,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0132,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0133,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0134,no,yes,59,high,18,0,Upgrade raw record before treating as high-confidence index target.
P0135,no,yes,59,high,29,0,Upgrade raw record before treating as high-confidence index target.
P0136,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0137,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0138,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0139,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0140,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0141,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0142,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0143,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0144,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0145,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0146,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0147,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0148,yes,no,82,low,0,0,Use as gold code hub source.
P0149,yes,no,82,low,0,0,Use as gold code hub source.
P0150,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0151,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0152,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0153,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0154,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0155,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0156,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0157,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0158,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0159,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0160,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0161,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0162,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0163,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0164,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0165,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0166,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0167,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0168,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0169,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0170,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0171,yes,no,82,low,0,0,Use as gold code hub source.
P0172,yes,no,83,low,17,0,Use as gold code hub source.
P0173,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0174,yes,no,82,low,0,0,Use as gold code hub source.
P0175,yes,no,82,low,0,0,Use as gold code hub source.
P0176,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0177,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0178,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0179,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0180,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0181,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0182,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0183,no,yes,60,high,37,0,Upgrade raw record before treating as high-confidence index target.
P0184,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0185,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0186,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0187,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0188,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0189,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0190,yes,no,82,low,0,0,Use as gold code hub source.
P0191,yes,no,82,low,0,0,Use as gold code hub source.
P0192,yes,no,82,low,0,0,Use as gold code hub source.
P0193,yes,no,82,low,0,0,Use as gold code hub source.
P0194,yes,no,82,low,0,0,Use as gold code hub source.
P0195,yes,no,82,low,0,0,Use as gold code hub source.
P0196,yes,no,82,low,0,0,Use as gold code hub source.
P0197,yes,no,82,low,0,0,Use as gold code hub source.
P0198,yes,no,82,low,0,0,Use as gold code hub source.
P0199,yes,no,82,low,0,0,Use as gold code hub source.
P0200,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0201,no,yes,59,high,24,0,Upgrade raw record before treating as high-confidence index target.
P0202,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0203,no,yes,60,high,46,1,Upgrade raw record before treating as high-confidence index target.
P0204,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0205,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0206,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0207,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0208,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0209,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0210,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0211,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0212,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0213,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0214,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0215,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0216,no,yes,60,high,39,1,Upgrade raw record before treating as high-confidence index target.
P0217,yes,no,82,low,0,0,Use as gold code hub source.
P0218,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0219,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0220,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0221,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0222,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0223,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0224,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0225,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0226,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0227,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0228,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0229,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0230,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0231,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0232,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0233,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0234,no,yes,60,high,40,2,Upgrade raw record before treating as high-confidence index target.
P0235,yes,no,83,low,26,0,Use as gold code hub source.
P0236,yes,no,82,low,0,0,Use as gold code hub source.
P0237,yes,no,82,low,0,0,Use as gold code hub source.
P0238,yes,no,83,low,18,0,Use as gold code hub source.
P0239,yes,no,82,low,0,0,Use as gold code hub source.
P0240,yes,no,82,low,0,0,Use as gold code hub source.
P0241,yes,no,82,low,0,0,Use as gold code hub source.
P0242,yes,no,82,low,0,0,Use as gold code hub source.
P0243,no,yes,59,high,16,0,Upgrade raw record before treating as high-confidence index target.
P0244,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0245,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0246,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0247,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0248,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0249,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0250,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0251,no,yes,59,high,28,0,Upgrade raw record before treating as high-confidence index target.
P0252,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0253,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0254,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0255,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0256,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0257,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0258,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0259,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0260,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0261,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0262,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0263,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0264,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0265,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0266,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0267,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0268,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0269,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0270,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0271,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0272,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0273,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0274,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0275,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0276,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0277,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0278,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0279,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0280,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0281,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0282,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0283,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0284,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0285,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0286,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0287,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0288,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0289,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0290,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0291,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0292,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0293,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0294,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0295,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0296,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0297,no,yes,59,high,10,0,Upgrade raw record before treating as high-confidence index target.
P0298,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0299,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0300,yes,no,83,low,10,0,Use as gold code hub source.
P0301,yes,no,82,low,0,0,Use as gold code hub source.
P0302,yes,no,82,low,0,0,Use as gold code hub source.
P0303,yes,no,82,low,0,0,Use as gold code hub source.
P0304,yes,no,82,low,0,0,Use as gold code hub source.
P0305,yes,no,82,low,0,0,Use as gold code hub source.
P0306,yes,no,82,low,0,0,Use as gold code hub source.
P0307,yes,no,82,low,0,0,Use as gold code hub source.
P0308,yes,no,82,low,0,0,Use as gold code hub source.
P0309,yes,no,82,low,0,0,Use as gold code hub source.
P0310,yes,no,82,low,0,0,Use as gold code hub source.
P0311,yes,no,82,low,0,0,Use as gold code hub source.
P0312,yes,no,82,low,0,0,Use as gold code hub source.
P0313,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0314,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0315,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0316,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0317,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0318,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0319,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0320,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0321,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0322,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0323,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0324,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0325,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0326,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0327,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0328,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0329,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0330,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0331,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0332,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0333,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0334,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0335,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0336,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0337,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0338,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0339,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0340,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0341,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0342,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0343,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0344,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0345,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0346,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0347,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0348,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0349,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0350,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0351,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0352,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0353,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0354,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0355,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0356,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0357,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0358,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0359,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0360,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0361,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0362,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0363,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0364,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0365,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0366,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
P0367,no,yes,58,high,0,0,Upgrade raw record before treating as high-confidence index target.
