code,title,current_raw_gold_ready,phase3_structured_ready,missing_phase3_requirements
C0625,Left Rear Position Sensor Circuit,YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
C0663,Level Control Exhaust Valve Circuit High,YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
C0800,Device Power 1 Circuit Malfunction,YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
P0191,Fuel Rail Pressure Sensor Circuit Range/Performance,YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
P0237,Turbocharger Boost Sensor A Circuit Low,YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
P0306,Cylinder 6 Misfire Detected,YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
P0407,EGR Sensor B Circuit Low,YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; description below 220 chars; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
U0006,High Speed CAN Communication Bus (-) Open,YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
U0018,Medium Speed CAN Communication Bus (-) Shorted to Bus (+),YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
U0030,Vehicle Communication Bus A (+) Open,YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
U0042,Vehicle Communication Bus B (-) Open,YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
U0054,Vehicle Communication Bus C (-) Shorted to Bus C (+),YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
U0066,Vehicle Communication Bus E (+) Open,YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
U0105,Lost Communication With Fuel Injector Control Module,YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
U0111,Lost Communication With Battery Energy Control Module A,YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
U0235,Lost Communication With Cruise Control Front Distance Range Sensor,YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
U0299,Lost Communication With DC to AC Converter Control Module A,YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
U0306,Software Incompatibility With Fuel Injector Control Module,YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
U0318,Software Incompatibility With Brake System Control Module,YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
U0330,Software Incompatibility With Tire Pressure Monitor Module,YES,NO,system missing; subsystem missing; component missing; circuit_type missing; severity missing; driveability missing; ecu_detection_condition missing; applicability_notes missing; source_confidence missing; diagnosticSteps below 6; commonFixes below 4; common_mistakes below 3; do_not_replace_blindly below 3; freeze_frame_fields below 4; live_data_fields below 4; related_codes below 5; source_confidence not allowed; information gain below 80
